('__HVKcFKVdr6lVFH2rdQVw', 'Bee', 'Philadelphia, PA', 'October 2007', 6L, 70L, 7L, None, '6-57-20', 7L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('1f0eAHAwZS7zXCKn3FoJcQ', 'Aaron F.', 'Philadelphia, PA', 'January 2011', 38L, 3L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 17, 20, 20))
('1hQjdoDUQwHB3kFdffMA6Q', 'Jill L.', 'Philadelphia, PA', 'May 2010', 123L, 233L, 3L, '13-12', '191-426-186', 157L, datetime.datetime(2013, 12, 7, 17, 16, 3))
('1hwTDYX9S0yyC6qdkfTmLA', 'Brian M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 27))
('1KUUrQpQahoqOODBaeqd3A', 'Catherine A.', 'Philadelphia, PA', 'July 2009', 22L, 87L, 3L, None, '90-222-80', 23L, datetime.datetime(2013, 12, 7, 17, 16, 21))
('1McmDac4N7vupgE0PoCcMA', 'Weronika P.', 'Philadelphia, PA', 'August 2012', 43L, 13L, 1L, None, '3-13-4', 3L, datetime.datetime(2013, 12, 7, 17, 17, 8))
('1mHlREvqpXnQwIsdyOWHIQ', 'Kia S.', 'Philadelphia, PA', 'March 2010', 103L, 90L, 4L, '13', '34-132-54', 69L, datetime.datetime(2013, 12, 7, 17, 16, 46))
('1nwGYEnJp1WAXyRV0JUQPg', 'Janet M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 16))
('1PLFmbG8iNM04WCHVUSWDA', 'Rachel S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 10))
('1q46zMl7G6TAJ_1Ky5tfCQ', 'Mitch S.', 'Philadelphia, PA', 'July 2010', 40L, 6L, None, None, '19-17-8', 1L, datetime.datetime(2013, 12, 7, 17, 20, 20))
('1r6ARLFNHNoYcWzysn0KAw', 'Neil E.', 'Philadelphia, PA', 'August 2011', 15L, 3L, None, None, '0-3-0', 1L, datetime.datetime(2013, 12, 7, 16, 15, 26))
('1raQtQPRQTsF-t8aoGGB-Q', 'Micah M.', 'Philadelphia, PA', 'July 2010', 22L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('1rBuG-ujNtvhBjQ_qFeT-w', 'Thomas F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('1rYRNGAtpyMWO3UCHWrHnA', 'Pzy C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 5, 13))
('1ScrVVGD70CQOM6gw0ckbA', 'Jeanie V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('1TJ2CxpLqTJtno2CqDyzqw', 'Isaac J.', 'Philadelphia, PA', 'September 2013', 31L, 1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('1Uc6NwkainkN_UQCfxsl-w', 'Steven D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52))
('1UN6V5J2zY4XbO2r8-Iukg', 'Peter M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('1vTl6l3qJUwLWxEV4UZENw', 'Brad H.', 'Philadelphia, PA', 'February 2009', 20L, 11L, 2L, None, '6-14-11', 1L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('1wDSLQ1l8btmU8D57LkxYQ', 'Cindy L.', 'Philadelphia, PA', 'January 2010', 38L, 221L, 3L, '12', '53-114-55', 16L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('1WEHUvZ2Qqlc46_qHsOOFA', 'Caroline L.', 'Philadelphia, PA', 'June 2009', 115L, 134L, 6L, '13-12-11-10', '130-306-236', 156L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('1Wvs3YLDBjhCZEwkmAnyFw', 'Sonny W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 55, 39))
('1XK7io4QZCkHDAY9Rk05-w', 'Christina R.', 'Philadelphia, PA', 'September 2013', 6L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('1XWZh27ZF_wod8YOh5OMzQ', 'Sandra L.', 'Philadelphia, PA', 'August 2010', 42L, 13L, None, None, '16-22-10', 5L, datetime.datetime(2013, 12, 7, 17, 7, 19))
('1y1Ygl3VOycX5u-PpCMmsw', 'Daming C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('1yNVAObIfIEW39OS2__nOg', 'Malatri C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 3, 52))
('2_7cP__yoiIhK-Ubafe7aw', 'Charlie P.', 'Philadelphia, PA', 'August 2010', 50L, 1L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 17, 21, 2))
('2_UmQTRPbpqKNQUdPDxZrA', 'Jennifer T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49, 36))
('2--3--v8yHU3a3FljCcBRg', 'William S.', 'Philadelphia, PA', 'July 2007', 271L, 174L, 4L, '10-09', '324-328-287', 120L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('209FFxvKYrPTH8fzFILEpA', 'Davis M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 33))
('20JWG1ZL67YX1cRi1Y_1Xg', 'emily s.', 'Philadelphia, PA', 'October 2009', 10L, 12L, None, None, '1-39-4', 1L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('22mFYksOeKH890TNh1HEaA', 'Lizzy S.', 'Philadelphia, PA', 'February 2009', 43L, 3L, None, None, '1-0-0', None, datetime.datetime(2013, 12, 7, 17, 17, 20))
('24BFu2-wWE1l-l0AQ_BEPw', 'Hitz S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 49))
('24n-CeWJiJMTV1cYvNmezQ', 'Jon Z.', 'Philadelphia, PA', 'May 2009', 65L, 110L, None, '13-12', '49-183-48', 34L, datetime.datetime(2013, 12, 7, 17, 16, 3))
('2aDWV9GKIp975ZVVZfgwsQ', 'Stephanie W.', 'Philadelphia, PA', 'February 2012', 3L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 45))
('2AGG5NBzU0sByMQK_NZWQg', 'Clea M.', 'Philadelphia, PA', 'October 2008', 40L, 78L, 7L, '10-09', '62-185-121', 60L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('2C3F1PvMw2e5YHr9r1mSdw', 'Sam L.', 'Philadelphia, PA', 'January 2009', 102L, 0L, None, '10-09', None, 232L, datetime.datetime(2013, 12, 7, 16, 58, 18))
('2cGkzdYpKUqa4js-R3S8Iw', 'Chris N.', 'Philadelphia, PA', 'September 2012', 16L, 1L, None, None, '0-1-1', None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('2ClRJyn6opSFKhItQtc4rQ', 'Ken M.', 'Philadelphia, PA', 'April 2013', 2L, 1L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 17, 17, 20))
('2cMLyjyiz97TkTVSRQ0Tlg', 'Rachel T.', 'Philadelphia, PA', 'May 2011', 128L, 319L, 8L, '13-12-11', '438-800-605', 321L, datetime.datetime(2013, 12, 7, 17, 14, 12))
('2cu5kMAIi9y_0OF6Que-YA', 'Andrea D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 51))
('2CxCyB0amTtektLhJeRSKQ', 'The Ambassador\xe2\x80\xa6', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('2dyfZNhtyuHdestczTgWjQ', 'Lou P.', 'Philadelphia, PA', 'June 2009', 528L, 294L, 58L, '12-11-10', '301-668-394', 337L, datetime.datetime(2013, 12, 7, 17, 14, 16))
('2eMUGgQo2j8gJHu8jxiXdA', 'mnd d.', 'Philadelphia, PA', 'January 2010', 41L, 6L, 2L, None, '2-9-4', None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('2f45bbxdioUQYR_KApbVaQ', 'Quinton W.', 'Philadelphia, PA', 'June 2011', 6L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('2fnbs1G5N3qquWV4y6xxsw', 'XS Hair S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('2gJiOjky8AJ9YptL0nWKMw', 'Elaine L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 21))
('2H9KxGTXYzAp-UuGAHdXOA', 'Peter L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('2hBiwcNTkEgbu6GNHxHyVQ', 'Arjuna N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 6))
('2Hj9It_RWSb2lmLa0U22Ag', 'trish g.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 27))
('2hT4CPS5MMijql0dA4RVyw', 'Peter B.', 'Philadelphia, PA', 'September 2010', 10L, 24L, 5L, None, '24-38-17', 4L, datetime.datetime(2013, 12, 7, 17, 7, 40))
('2Iz48H97wnvOhUyDLb69_w', 'Corbin E.', 'Philadelphia, PA', 'April 2010', 8L, 1L, None, None, '0-1-1', None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('2KHyzRghgMFDxQcAWStPxw', 'El C.', 'Philadelphia, PA', 'May 2012', 19L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 56))
('2Kr3evO8NEsqBhYzhwc16A', 'Bud G.', 'Philadelphia, PA', 'December 2012', 1L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('2kR6OpGgn0XMqKW7YJcQSA', 'Jimmi S.', 'Philadelphia, PA', 'April 2009', 20L, 36L, 2L, None, '13-50-13', 2L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('2lFni8ituUYceQJPxlUy_w', 'Phil T.', 'Philadelphia, PA', 'July 2008', 49L, 64L, 18L, '12', '352-179-108', 42L, datetime.datetime(2013, 12, 7, 17, 15, 45))
('2LfozZiejXfQHcS52-Fv5w', 'Nicey J.', 'Philadelphia, PA', 'December 2009', 135L, 280L, 14L, '13-12-11-10', '237-522-333', 154L, datetime.datetime(2013, 12, 7, 17, 7, 40))
('2LIjuK0wvsOiUGjbyK3KNQ', 'Doreen T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('2LxlkB5qMnRsT_bNbXJQSQ', 'Tip W.', 'Philadelphia, PA', 'May 2008', 40L, 55L, 10L, '11-10', '56-148-64', 25L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('2lZ6NBUhWDaxdk3w2r1PNA', 'Joshua S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 19))
('2M01rniHjqap5IBVQ_eV8Q', 'Amy K.', 'Philadelphia, PA', 'September 2009', 62L, 65L, 5L, '10-09', '51-189-113', 41L, datetime.datetime(2013, 12, 7, 16, 15, 52))
('2naUGMyUBV7GyuBhPPkVZQ', 'Donald L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 19))
('2nnz6PVgeB0hXf6L_Ne5RQ', 'Sam G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 52))
('2R6g6HfEphlG23Snbr1olg', 'Born Y.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('2rxGPfJo1-KX1HdmFXQQ5w', 'Louisa E.', 'Philadelphia, PA', 'August 2010', 29L, 27L, 1L, None, '5-12-3', 1L, datetime.datetime(2013, 12, 7, 17, 21, 19))
('2S_TNGTL1gDTDu3T2GYuXQ', 'Megan M.', 'Philadelphia, PA', 'March 2011', 72L, 62L, 4L, None, '23-57-25', 16L, datetime.datetime(2013, 12, 7, 17, 16, 33))
('2S9dBL5dHsqsUOMcRAEOpA', 'Alex H.', 'Philadelphia, PA', 'May 2008', 37L, 1L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 16, 58, 18))
('2sdgAnh45aa46nacDeMeFg', 'Ashley A.', 'Philadelphia, PA', 'May 2013', 4L, 4L, None, None, '7-5-5', 3L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('2sSg4xMKGNFu-_5RB4DIoQ', 'Lisa D.', 'Philadelphia, PA', 'September 2009', 6L, 12L, None, None, '14-32-11', 2L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('2SYFAGATQn96D8-FZNvaMw', 'Morgan D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 47))
('2thNOEdLmSoE8f96YxhFiw', 'Emily M.', 'Philadelphia, PA', 'April 2013', 10L, 5L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 17, 17, 8))
('2ukfhBu7VeFVeDyg2sNWMg', 'Michael T.', 'Philadelphia, PA', 'June 2011', 7L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 56))
('2uzH6U_kGVOBIIJoZOOUPw', 'Jill A.', 'Philadelphia, PA', 'May 2009', 120L, 62L, 9L, '09', '225-351-250', 130L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('2V4y-qpzRJEO5r5Gfioj7g', 'Romualda M.', 'Philadelphia, PA', 'February 2009', 67L, 115L, 1L, None, '49-71-42', 14L, datetime.datetime(2013, 12, 7, 17, 14, 42))
('2vWILwSYw1bxN195T3lTpw', 'Christopher W.', 'Philadelphia, PA', 'February 2011', 5L, 15L, None, None, '11-9-4', None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('2WOKMLCVuaiGf7LZX2dHhA', 'Jen F.', 'Philadelphia, PA', 'November 2009', 2L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 41))
('2WuSY2z2b5YWBo9N1a11tg', 'Michael S.', 'Philadelphia, PA', 'March 2012', 16L, 12L, None, None, '0-10-1', None, datetime.datetime(2013, 12, 7, 17, 15, 40))
('2X4yIsAHtPi_UwfgaCCloQ', 'Catherine H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 52))
('2XmM5xHH0zNBg7z7mVWPMg', 'Sara M.', 'Philadelphia, PA', 'March 2011', 2L, 8L, 1L, None, '0-4-2', 1L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('2xWGCfc2GeTEaspPPPKSOA', 'Nicole L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 50, 37))
('2xXSY97AulR6mfzCkpDQ1Q', 'Aday F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 57))
('2yAnjupqj2L_4KovW7QzrQ', 'Sylvia M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 27))
('2z4CSJ9EH0L-5BmzquYnSg', 'Nicole W.', 'Philadelphia, PA', 'September 2010', 138L, 193L, 20L, '13-12-11', '151-369-166', 134L, datetime.datetime(2013, 12, 7, 17, 17, 8))
('3_nr-RAIW8qCYK4xrnqXug', 'Rachel G.', 'Philadelphia, PA', 'August 2009', 28L, 2L, None, None, '0-4-1', None, datetime.datetime(2013, 12, 7, 17, 13, 15))
('3-KN8voqz63RP02UUisL2w', 'Lisa K.', 'Philadelphia, PA', 'July 2010', 7L, 7L, None, None, '0-3-0', None, datetime.datetime(2013, 12, 7, 17, 20, 40))
('3-SYU3DfNUxAOqVwhbjAiw', 'Denise C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('31U8KjJqh-4i7ZIKx-WzJg', 'Will F.', 'Philadelphia, PA', 'December 2011', 6L, 3L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('32Me9vho42tVWUoiAx-YYQ', 'Jessica B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('32STjUsg4y0odwGmmpVQ5w', 'Molly S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 3, 45))
('33b9DuwvliJkW6cbCCZcwA', 'Chloe J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 1))
('33q7YVUXixF1DIikw4qYEw', 'Jaime K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 25))
('33TDg7Cn46ATAmN2uixIVg', 'Kara C.', 'Philadelphia, PA', 'August 2010', 47L, 3L, None, None, '0-2-2', 3L, datetime.datetime(2013, 12, 7, 17, 20, 31))
('33Wq0fN27tdcEG-hvIRmwg', 'Devant W.', 'Philadelphia, PA', 'December 2008', 174L, 16L, 2L, None, '38-75-29', 11L, datetime.datetime(2013, 12, 7, 16, 16, 4))
('34mfp3Zlv_RzqbT2H4wJWA', 'Albert L.', 'Philadelphia, PA', 'January 2009', 39L, 16L, None, None, '6-15-10', 9L, datetime.datetime(2013, 12, 7, 17, 20, 53))
('35Cg-bBS0rWIW45INj7KlQ', 'Howard M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 35))
('35w3b5jutSeT9YdHO0uRQQ', 'Jeffrey B.', 'Philadelphia, PA', 'August 2012', 14L, 1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('36rYo-dZTwy8LUlmimgdbg', 'JEAN S.', 'Philadelphia, PA', 'January 2009', 61L, 187L, 20L, '11-10-09', '93-298-176', 52L, datetime.datetime(2013, 12, 7, 17, 14, 42))
('3BJ0hn0-XMIdKfEvkxjZHQ', 'Andrew L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 57))
('3BNJl-7KnCCcnLXNt_qIwA', 'SpeedDate U.', 'Philadelphia, PA', 'December 2010', 109L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('3C2u_-Oamt_sW996Bc5Lyw', 'Jesse C.', 'Philadelphia, PA', 'July 2009', 6L, 0L, None, None, None, 1L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('3c3uj4KIExrxmbSLOkzLWg', 'Patrick H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('3COucPL75Be6x74ENTGntA', 'Dinae B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 2))
('3DU_OmbI9_262u5EJyWyXg', 'Rob L.', 'Philadelphia, PA', 'September 2011', 3L, 3L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('3dVvcemsY5FQa9FPEwhRUA', 'Sean T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('3dYT7FLmli9iHf3Arhhdkg', 'Miriam P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 2))
('3fxsHOFTf5vbYwgC1Yf-Hw', 'Olive R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 42))
('3G9xbRa-l9ETNoA8xCK8lA', 'Nicole V.', 'Philadelphia, PA', 'February 2008', 67L, 99L, 9L, None, '40-100-48', 39L, datetime.datetime(2013, 12, 7, 17, 15, 45))
('3Gce1gL0o9Klw9joJKvabg', 'John Z.', 'Philadelphia, PA', 'October 2011', 8L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('3IJKCiVPf_bInBIZpYfzLQ', 'Jonathan W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49, 23))
('3IpOJMIfZPWBPwkBMtzN6Q', 'James H.', 'Philadelphia, PA', 'April 2010', 28L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 37))
('3Ko9YhnkdXjpfNoZdnAaFw', 'Jeff C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 27))
('3m0oRpkJ83mLFa8oJ-u18g', 'Nate R.', 'Philadelphia, PA', 'August 2009', 2L, 6L, 3L, None, '1-6-0', None, datetime.datetime(2013, 12, 7, 17, 17, 8))
('3MbQKVOoyuS4KMbjb8-jlA', 'Rob F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 16))
('3ms6Q81SGMThQpqayhJDrQ', 'Jeremy K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49, 36))
('3n-8y4LckDDJC7MDLjX0GA', 'Erik s.', 'Philadelphia, PA', 'August 2008', 86L, 203L, 6L, '12-10-09', '421-382-281', 193L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('3NUgtS-4lJk7b6kdif9Mig', 'Jithin J.', 'Philadelphia, PA', 'January 2011', 32L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 55))
('3oIeHtjBoPNlPwscrypu2Q', 'Derek C.', 'Philadelphia, PA', 'May 2013', 1L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 16, 21))
('3PB1TY8e8NnnHBHTb96p7Q', 'Casey R.', 'Philadelphia, PA', 'September 2010', 111L, 203L, 9L, '13-12', '44-217-152', 118L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('3Pjqwx8VnVjZjyhWE99T_Q', 'Frank S.', 'Philadelphia, PA', 'October 2007', 19L, 39L, 4L, '10-09', '43-102-78', 26L, datetime.datetime(2013, 12, 7, 16, 58, 18))
('3pxV5pEWxBXCKMSDl7nJ5A', 'Quil J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 27))
('3RqYAJfEJDxIpX3xjnCmLw', 'Tyler L.', 'Philadelphia, PA', 'February 2012', 71L, 163L, 1L, '13-12', '48-117-28', 18L, datetime.datetime(2013, 12, 7, 16, 15, 19))
('3SqYnVDvlusoryGUf2wF4w', 'Kevin H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 57))
('3tDi9Dv2fIidGREEPFpLHg', 'Angelo P.', 'Philadelphia, PA', 'July 2011', 7L, 8L, None, None, '1-6-4', None, datetime.datetime(2013, 12, 7, 17, 21, 19))
('3X5g6ys5vymTYyxbwOWx7w', 'Dan G.', 'Philadelphia, PA', 'June 2009', 2L, 8L, 2L, None, '0-7-4', 2L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('3xSvDTbkBp01FWUJ5G74FA', 'Erin W.', 'Philadelphia, PA', 'September 2010', 41L, 110L, 2L, '11', '148-225-104', 47L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('3yMgeQpZy_PWfWuMNI6ukQ', 'Michael N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 45, 53))
('3ZKvzcIUlzsi2DdN7CFQkw', 'Chen L.', 'Philadelphia, PA', 'August 2010', 31L, 2L, None, None, '0-10-0', 2L, datetime.datetime(2013, 12, 7, 17, 20, 40))
('4-OZsrwxE62bxlWsZYStOw', 'sean M.', 'Philadelphia, PA', 'June 2011', 56L, 2L, None, None, '1-1-0', None, datetime.datetime(2013, 12, 7, 17, 13, 55))
('41Wt1xlFdp1S0W_vX-Y4SQ', 'Chrissy K.', 'Philadelphia, PA', 'August 2011', 9L, 1L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 16, 16, 4))
('42D8UPKrq8oDOPwGysuEMw', 'Jessica E.', 'Philadelphia, PA', 'December 2010', 67L, 113L, 4L, '11', '95-233-103', 35L, datetime.datetime(2013, 12, 7, 17, 7, 19))
('45tpShUA9FgroJ5gAWpfeA', 'Elijah M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('46usODzkmddlBw-likcaDw', 'Jessica S.', 'Philadelphia, PA', 'September 2011', 95L, 166L, 7L, '13-12', '106-363-216', 115L, datetime.datetime(2013, 12, 7, 17, 16, 22))
('49pxYyXRIfX5bei-SsPkSg', 'Eric W.', 'Philadelphia, PA', 'March 2010', 6L, 2L, None, None, '2-6-2', 1L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('4A_3ozf2Q0XKb7KHjnU9JQ', 'Faith O.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('4AWzbsZ0b-N3Rc58RiKtNg', 'Peter N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 25))
('4b7feWiVEaN6VwZYxMlj1A', 'Elijah D.', 'Philadelphia, PA', 'December 2010', 197L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('4bhxsS92H8bR-D7CbK0jpw', 'John A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('4BV9svcOl6TQrMXZgyGtaA', 'Kevin M.', 'Philadelphia, PA', 'March 2011', 6L, 1L, None, None, '1-1-0', None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('4cUQwueCQT6L7Auqja3fgw', 'Keishia M.', 'Philadelphia, PA', 'June 2010', 8L, 1L, None, None, '1-1-0', None, datetime.datetime(2013, 12, 7, 17, 7, 31))
('4cUrA82pcwPItFGJ8M6x5A', 'Rafael H.', 'Philadelphia, PA', 'December 2009', 21L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('4dXfkXHjoXrB1EPv130OlQ', 'Chris C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 35))
('4E266oejVui6Vw9xFeOAIw', 'Jahkey C.', 'Philadelphia, PA', 'December 2011', 1L, 1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 23))
('4EGJwmfDmKhz9ajTzZpw8Q', 'Kimberly M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('4eLkFeklpvLWrs1wJP8F5A', 'Paul M.', 'Philadelphia, PA', 'September 2011', 5L, 1L, None, None, '0-3-1', None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('4FBHFeKVkmFQ0B5gDCkP0g', 'Karim O.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
